  y      TS     DS     ER
 51.43  -1.00   0.00   1.00
 68.57   0.00   0.00   0.00
 17.14   1.00   1.00   1.00
 73.47  -0.64   1.00   1.00
 22.04   0.00   0.00   0.00
 41.63   1.00   1.00   1.00
 41.63   1.36   1.00   1.00
 51.43  -1.00   0.00   0.00
 26.94   0.00   1.00   0.00
 56.33   1.36   1.00   1.00
 71.02  -0.64   1.00   1.00
 56.33  -0.53   0.00   1.00
 17.14   1.00   0.00   1.00
 61.22  -1.00   1.00   1.00
 36.73  -7.34   0.00   0.00
 19.59  -0.53   0.00   1.00
 12.24  -1.00   1.00   1.00
  9.80   1.00   0.00   1.00
 14.69   0.96   0.00   1.00
 44.08   1.00   1.00   1.00
 26.94  -0.64   1.00   1.00
 53.88  -1.00   1.00   0.00
  9.80   0.00   1.00   0.00
  9.80  -0.53   0.00   1.00
 19.59   0.96   0.00   1.00
 78.37  -1.00   0.00   0.00
  4.90   3.54   0.00   1.00
  4.90   3.54   0.00   1.00
 46.53  -3.58   1.00   0.00
 56.33   0.00   1.00   1.00
 78.37   1.00   0.00   1.00
  0.00   1.23   1.00   0.00
 34.29   0.00   1.00   1.00
 63.67  -0.64   1.00   1.00
 71.02  -3.26   1.00   1.00
 29.39   0.00   1.00   0.00
 14.69   3.54   0.00   1.00
 12.24   0.96   0.00   1.00
  9.80   0.46   0.00   0.00
 58.78  -1.00   0.00   1.00
 14.69  -1.00   0.00   1.00
 14.69   0.46   0.00   0.00
 24.49   0.00   0.00   0.00
  9.80   1.00   1.00   1.00
 46.53   1.36   1.00   1.00
 66.12  -1.00   1.00   1.00
 88.16  -0.53   0.00   1.00
 68.57  -1.00   1.00   1.00
 66.12   0.96   0.00   1.00
 17.14   1.00   0.00   1.00
  4.90   1.00   0.00   1.00
 56.33   0.00   1.00   1.00
 17.14   1.00   0.00   1.00
 17.14  -1.00   0.00   0.00
  7.35   3.54   0.00   1.00
 68.57   1.36   1.00   1.00
 51.43  -3.26   1.00   1.00
 29.39  -3.58   1.00   0.00
 48.98   0.00   1.00   1.00
 26.94  -3.26   1.00   1.00
 51.43  -0.64   1.00   1.00
 44.08   1.36   1.00   1.00
 44.08   0.00   1.00   1.00
 22.04   0.46   0.00   0.00
 14.69   1.36   1.00   1.00
  9.80  -0.53   0.00   1.00
 19.59   0.46   0.00   0.00
 44.08  -1.00   0.00   0.00
 71.02   1.00   1.00   1.00
 36.73   1.00   1.00   1.00
 12.24   0.00   0.00   1.00
 12.24   0.46   0.00   0.00
 88.16   1.00   0.00   1.00
 66.12   0.00   0.00   0.00
 39.18  -1.00   0.00   0.00
 56.33   1.00   1.00   1.00
 36.73   0.46   0.00   0.00
 63.67   0.00   0.00   1.00
 36.73  -3.26   1.00   1.00
 22.04  -1.00   1.00   0.00
 17.14  -1.00   0.00   0.00
 88.16   1.00   0.00   1.00
 97.96   0.00   1.00   0.00
 46.53  -1.00   0.00   1.00
 58.78  -7.34   0.00   0.00
 12.24  -1.00   0.00   1.00
 48.98  -3.26   1.00   1.00
 41.63   0.00   1.00   1.00
 48.98  -7.34   0.00   0.00
 66.12  -7.34   0.00   0.00
  2.45  -0.53   0.00   1.00
 68.57  -0.53   0.00   1.00
 53.88  -1.00   0.00   0.00
 14.69   1.00   1.00   1.00
 17.14  -1.00   1.00   0.00
 34.29   1.36   1.00   1.00
 14.69   1.00   0.00   1.00
 24.49   1.23   1.00   0.00
 12.24  -3.58   1.00   0.00
 71.02  -3.26   1.00   1.00
 75.92   0.00   1.00   1.00
 14.69   0.00   0.00   0.00
 14.69   1.00   0.00   1.00
 29.39   0.46   0.00   0.00
 24.49   0.00   0.00   1.00
 48.98   0.00   1.00   1.00
 75.92  -1.00   1.00   0.00
 31.84   0.00   1.00   0.00
 29.39   0.96   0.00   1.00
 41.63   0.00   1.00   1.00
 24.49   0.00   0.00   1.00
 75.92  -1.00   1.00   1.00
 31.84  -0.64   1.00   1.00
  7.35   1.00   0.00   1.00
 31.84  -0.53   0.00   1.00
 26.94   0.96   0.00   1.00
 29.39  -1.00   0.00   0.00
 29.39   0.46   0.00   0.00
 36.73   1.23   1.00   0.00
 12.24   0.00   0.00   1.00
 24.49   0.00   0.00   1.00
 12.24   0.96   0.00   1.00
 19.59   0.00   1.00   0.00
 63.67  -3.26   1.00   1.00
 66.12  -1.00   1.00   1.00
 19.59   0.00   1.00   1.00
 71.02  -1.00   0.00   0.00
 56.33   1.36   1.00   1.00
 41.63  -0.64   1.00   1.00
 44.08  -3.58   1.00   0.00
 53.88   1.36   1.00   1.00
 24.49   1.23   1.00   0.00
 56.33   0.96   0.00   1.00
 12.24   0.00   0.00   0.00
  7.35   1.23   1.00   0.00
 17.14   1.36   1.00   1.00
 56.33   0.00   0.00   1.00
 12.24   1.00   1.00   1.00
 85.71   0.96   0.00   1.00
 46.53  -1.00   0.00   0.00
 53.88   1.00   1.00   1.00
 14.69  -1.00   1.00   0.00
 31.84   0.00   0.00   1.00
 26.94   1.00   0.00   1.00
 26.94  -1.00   1.00   0.00
 73.47   1.36   1.00   1.00
 19.59  -1.00   1.00   0.00
 68.57  -0.64   1.00   1.00
 63.67  -3.26   1.00   1.00
 58.78  -1.00   0.00   1.00
 53.88  -1.00   0.00   0.00
 53.88  -0.53   0.00   1.00
 12.24  -7.34   0.00   0.00
 17.14  -1.00   0.00   0.00
 53.88   0.00   0.00   0.00
 58.78  -0.64   1.00   1.00
 78.37  -7.34   0.00   0.00
 75.92   1.00   1.00   1.00
  0.00   1.00   1.00   1.00
 17.14   0.00   0.00   0.00
  9.80   0.46   0.00   0.00
 58.78  -1.00   0.00   0.00
  9.80   3.54   0.00   1.00
 51.43  -1.00   1.00   0.00
 46.53   3.54   0.00   1.00
 78.37   0.00   0.00   1.00
 29.39  -3.26   1.00   1.00
  9.80   0.00   1.00   0.00
 56.33   0.46   0.00   0.00
 12.24   1.00   0.00   1.00
 22.04   1.00   0.00   1.00
 44.08  -7.34   0.00   0.00
 61.22  -1.00   0.00   1.00
 14.69  -1.00   1.00   0.00
  2.45   3.54   0.00   1.00
 71.02  -0.64   1.00   1.00
 83.27  -3.58   1.00   0.00
 63.67  -1.00   1.00   0.00
 63.67   0.96   0.00   1.00
 68.57  -3.26   1.00   1.00
 68.57   0.00   1.00   1.00
 31.84  -1.00   1.00   0.00
  4.90   0.00   0.00   0.00
  9.80  -7.34   0.00   0.00
 58.78  -0.64   1.00   1.00
 44.08   1.36   1.00   1.00
 19.59   0.00   1.00   0.00
 71.02   0.00   1.00   1.00
 51.43  -7.34   0.00   0.00
 51.43  -0.64   1.00   1.00
  7.35   0.00   0.00   1.00
  7.35  -7.34   0.00   0.00
 17.14   0.00   1.00   0.00
 29.39   1.00   0.00   1.00
 39.18   1.23   1.00   0.00
 58.78   1.36   1.00   1.00
 17.14   0.46   0.00   0.00
 58.78   0.00   0.00   1.00
